team_a,team_b,result
Israel,Finland,1
Japan,Latvia,1
Jordan,Singapore,1
Kenya,Libya,1
North Korea,Laos,1
North Macedonia,Denmark,1
Mali,Nigeria,0
Malta,Northern Ireland,1
Malta,Northern Ireland,0
Mexico,Jamaica,1
Mexico,Jamaica,0
Moldova,Kazakhstan,0
Nepal,Pakistan,0
Netherlands,Italy,1
Netherlands,Italy,0
Norway,Ukraine,0
Oman,Syria,1
Panama,Costa Rica,1
Panama,Costa Rica,0
Portugal,Ecuador,0
Qatar,Malaysia,1
Romania,Australia,1
Rwanda,Uganda,1
Rwanda,Uganda,0
Saudi Arabia,China,1
Scotland,Estonia,1
Slovenia,Bosnia and Herzegovina,0
Spain,Uruguay,1
Sweden,Argentina,0
Tanzania,Cameroon,1
Thailand,Kuwait,0
Turkey,Czechia,0
Uzbekistan,Hong Kong,1
Uzbekistan,Hong Kong,0
Vietnam,United Arab Emirates,0
Wales,Austria,1
Yemen,Bahrain,0
Zimbabwe,Botswana,1
Trinidad and Tobago,Peru,0
Mali,Ghana,1
Nepal,Pakistan,0
Nigeria,Burkina Faso,1
Maldives,Pakistan,1
Maldives,Pakistan,0
Provence,Monaco,1
Maldives,Pakistan,1
Gambia,Mauritania,0
Afghanistan,Sri Lanka,1
Myanmar,Guam,1
Gambia,Mauritania,1
Gambia,Mauritania,0
India,Taiwan,1
Laos,Mongolia,1
Laos,Mongolia,0
Nepal,Northern Mariana Islands,1
Palestine,Bangladesh,1
Guam,India,0
Laos,Sri Lanka,1
Mongolia,Afghanistan,0
Nepal,Bangladesh,0
Northern Mariana Islands,Palestine,0
Bangladesh,Northern Mariana Islands,1
Myanmar,India,1
Laos,Afghanistan,1
Laos,Afghanistan,0
Nepal,Palestine,1
Nepal,Palestine,0
Sri Lanka,Mongolia,1
Qatar,Egypt,1
Sealand,Alderney,1
Senegal,Libya,0
Alderney,Jersey,0
Bahrain,Lebanon,1
Bahrain,Lebanon,0
Kyrgyzstan,Macau,1
Malaysia,Saudi Arabia,0
Qatar,Thailand,1
Tajikistan,Pakistan,1
Botswana,Malawi,1
Kyrgyzstan,Pakistan,1
Macau,Tajikistan,0
Oman,Haiti,1
Rwanda,Libya,0
Ecuador,El Salvador,1
Italy,Brazil,1
Italy,Brazil,0
Jordan,Belarus,1
Kuwait,Palestine,1
Kyrgyzstan,Tajikistan,1
Pakistan,Macau,1
Andorra,Turkey,0
Argentina,Venezuela,1
Austria,Faroe Islands,1
Bahrain,Qatar,1
Bosnia and Herzegovina,Greece,1
Bulgaria,Malta,1
China,Iraq,1
Colombia,Bolivia,1
Croatia,Serbia,1
Czechia,Denmark,0
Egypt,Eswatini,1
France,Georgia,1
Honduras,Mexico,1
Honduras,Mexico,0
Hong Kong,Vietnam,1
Hungary,Romania,1
Hungary,Romania,0
Israel,Portugal,1
Israel,Portugal,0
Jamaica,Panama,1
Jamaica,Panama,0
Japan,Canada,1
Kazakhstan,Germany,0
Lebanon,Thailand,1
Liechtenstein,Latvia,1
Liechtenstein,Latvia,0
Luxembourg,Azerbaijan,1
Luxembourg,Azerbaijan,0
North Macedonia,Belgium,0
Malaysia,Yemen,1
Moldova,Montenegro,0
Netherlands,Estonia,1
New Zealand,New Caledonia,1
Norway,Albania,0
Peru,Chile,1
Poland,Ukraine,0
San Marino,England,0
Scotland,Wales,0
Slovakia,Lithuania,1
Slovakia,Lithuania,0
Slovenia,Iceland,0
Spain,Finland,1
Spain,Finland,0
Sweden,Republic of Ireland,1
Sweden,Republic of Ireland,0
Tahiti,Solomon Islands,1
Turkmenistan,Cambodia,1
United Arab Emirates,Uzbekistan,1
Uruguay,Paraguay,1
Uruguay,Paraguay,0
United States,Costa Rica,1
Belize,Trinidad and Tobago,1
Belize,Trinidad and Tobago,0
Burkina Faso,Niger,1
Cameroon,Togo,1
Congo,Gabon,1
Cyprus,Switzerland,1
Cyprus,Switzerland,0
Indonesia,Saudi Arabia,0
Côte d'Ivoire,Gambia,1
Namibia,Malawi,0
Nigeria,Kenya,1
Nigeria,Kenya,0
Senegal,Angola,1
Senegal,Angola,0
South Africa,Central African Republic,1
Tunisia,Sierra Leone,1
DR Congo,Libya,1
DR Congo,Libya,0
Dominican Republic,Haiti,1
Equatorial Guinea,Cabo Verde,0
Ethiopia,Botswana,1
Ghana,Sudan,1
Lesotho,Zambia,1
Lesotho,Zambia,0
Liberia,Uganda,1
Mozambique,Guinea,1
Mozambique,Guinea,0
Philippines,Cambodia,1
Rwanda,Mali,0
Tanzania,Morocco,1
Canada,Belarus,0
Russia,Brazil,1
Russia,Brazil,0
Albania,Lithuania,1
Algeria,Benin,1
Armenia,Czechia,0
Australia,Oman,1
Australia,Oman,0
Azerbaijan,Portugal,0
Belgium,North Macedonia,1
Bolivia,Argentina,1
Bolivia,Argentina,0
Chile,Uruguay,1
Costa Rica,Jamaica,1
Denmark,Bulgaria,1
Denmark,Bulgaria,0
Ecuador,Paraguay,1
Egypt,Zimbabwe,1
Estonia,Andorra,1
France,Spain,0
Germany,Kazakhstan,1
Iraq,Syria,1
Republic of Ireland,Austria,1
Republic of Ireland,Austria,0
Jordan,Japan,1
Korea Republic,Qatar,1
Kuwait,Iran,1
Kuwait,Iran,0
Luxembourg,Finland,0
Malaysia,Palestine,0
Malta,Italy,0
Mexico,United States,1
Mexico,United States,0
Montenegro,England,1
Montenegro,England,0
Netherlands,Romania,1
New Caledonia,Tahiti,1
Northern Ireland,Israel,0
Panama,Honduras,1
Peru,Trinidad and Tobago,1
Philippines,Turkmenistan,1
Poland,San Marino,1
Serbia,Scotland,1
Slovakia,Sweden,1
Slovakia,Sweden,0
Solomon Islands,New Zealand,0
Turkey,Hungary,1
Turkey,Hungary,0
Ukraine,Moldova,1
Uzbekistan,Lebanon,1
Venezuela,Colombia,1
Wales,Croatia,0
Bolivia,Brazil,0
Mexico,Peru,1
Mexico,Peru,0
Qatar,Palestine,1
Saint Vincent and the Grenadines,Saint Lucia,0
Brazil,Chile,1
Brazil,Chile,0
Zambia,Zimbabwe,1
Libya,Mauritania,1
Guernsey,Jersey,1
Oman,Iran,1
Venezuela,El Salvador,1
Qatar,Latvia,1
Algeria,Mauritania,1
Ethiopia,Sudan,1
Malawi,Zimbabwe,1
Malawi,Zimbabwe,0
Namibia,Zambia,1
Namibia,Zambia,0
Iraq,Liberia,0
Jordan,Libya,1
Canada,Costa Rica,0
Turkey,Latvia,1
Turkey,Latvia,0
Brittany,Mali,1
Ecuador,Germany,0
England,Republic of Ireland,1
England,Republic of Ireland,0
Oman,Lebanon,1
Oman,Lebanon,0
Qatar,Azerbaijan,1
Qatar,Azerbaijan,0
United States,Belgium,0
Japan,Bulgaria,0
Italy,San Marino,1
Mexico,Nigeria,1
Mexico,Nigeria,0
Turkey,Slovenia,0
Libya,Uganda,1
Panama,Peru,0
Algeria,Burkina Faso,1
Brazil,England,1
Brazil,England,0
Honduras,Israel,0
Republic of Ireland,Georgia,1
Lesotho,South Africa,0
Sudan,Tanzania,1
Sudan,Tanzania,0
Ukraine,Cameroon,1
Ukraine,Cameroon,0
United States,Germany,1
Estonia,Belarus,0
Sweden,North Macedonia,1
Myanmar,Singapore,0
Egypt,Botswana,1
Egypt,Botswana,0
Hong Kong,Philippines,0
Jamaica,Mexico,0
Japan,Australia,1
Japan,Australia,0
Kazakhstan,Bulgaria,0
Lebanon,Korea Republic,1
Lebanon,Korea Republic,0
Oman,Iraq,1
Poland,Liechtenstein,1
Qatar,Iran,0
Romania,Trinidad and Tobago,1
Tajikistan,Afghanistan,1
Denmark,Georgia,1
Kenya,Nigeria,0
Malawi,Namibia,1
Malawi,Namibia,0
Uruguay,France,1
China,Uzbekistan,0
Hungary,Kuwait,1
Albania,Norway,1
Albania,Norway,0
Argentina,Colombia,1
Argentina,Colombia,0
Armenia,Malta,0
Austria,Sweden,1
Azerbaijan,Luxembourg,1
Azerbaijan,Luxembourg,0
Belgium,Serbia,1
Bolivia,Venezuela,1
Bolivia,Venezuela,0
Costa Rica,Honduras,1
Croatia,Scotland,0
Czechia,Italy,1
Czechia,Italy,0
Estonia,Trinidad and Tobago,1
Finland,Belarus,1
Iceland,Slovenia,0
Indonesia,Netherlands,0
Republic of Ireland,Faroe Islands,1
Jamaica,United States,0
Laos,Singapore,0
Latvia,Bosnia and Herzegovina,0
Libya,DR Congo,1
Libya,DR Congo,0
Liechtenstein,Slovakia,1
Liechtenstein,Slovakia,0
Lithuania,Greece,0
Moldova,Poland,1
Moldova,Poland,0
Montenegro,Ukraine,0
Panama,Mexico,1
Panama,Mexico,0
Paraguay,Chile,0
Peru,Ecuador,1
Portugal,Russia,1
Sudan,Ghana,0
Madrid,Andalusia,0
Angola,Senegal,1
Angola,Senegal,0
Botswana,Ethiopia,1
Cabo Verde,Equatorial Guinea,1
Central African Republic,South Africa,0
Gabon,Congo,1
Gabon,Congo,0
Gambia,Côte d'Ivoire,0
Haiti,Spain,0
Morocco,Tanzania,1
Sierra Leone,Tunisia,1
Sierra Leone,Tunisia,0
Switzerland,Cyprus,1
Uganda,Liberia,1
Zambia,Lesotho,1
Benin,Algeria,0
Brazil,France,1
Guinea,Mozambique,1
Mali,Rwanda,1
Mali,Rwanda,0
Niger,Burkina Faso,0
Togo,Cameroon,0
Zimbabwe,Egypt,0
Croatia,Portugal,0
Australia,Jordan,1
Belarus,Finland,1
Belarus,Finland,0
Chile,Bolivia,1
China,Netherlands,0
Colombia,Peru,1
Denmark,Armenia,0
Ecuador,Argentina,1
Ecuador,Argentina,0
Estonia,Kyrgyzstan,1
Estonia,Kyrgyzstan,0
Guatemala,Belize,1
Guatemala,Belize,0
Honduras,Jamaica,1
Iran,Lebanon,1
Iraq,Japan,0
Italy,Haiti,1
Italy,Haiti,0
Korea Republic,Uzbekistan,1
Mexico,Costa Rica,1
Mexico,Costa Rica,0
Norway,North Macedonia,1
Qatar,North Korea,1
Qatar,North Korea,0
Spain,Republic of Ireland,1
Sweden,Faroe Islands,1
United States,Panama,1
Venezuela,Uruguay,0
Ghana,Côte d'Ivoire,1
Malawi,Kenya,1
Malawi,Kenya,0
Namibia,Nigeria,1
Namibia,Nigeria,0
Ghana,Côte d'Ivoire,1
Ghana,Côte d'Ivoire,0
Guatemala,Argentina,0
Libya,Togo,1
Moldova,Kyrgyzstan,1
Botswana,Central African Republic,1
Brazil,Japan,1
Cabo Verde,Sierra Leone,1
China,Thailand,0
Congo,Burkina Faso,0
Gabon,Niger,1
Morocco,Gambia,1
Uganda,Angola,1
Zambia,Sudan,1
Zambia,Sudan,0
DR Congo,Cameroon,1
DR Congo,Cameroon,0
Equatorial Guinea,Tunisia,1
Equatorial Guinea,Tunisia,0
Ethiopia,South Africa,1
Guinea,Zimbabwe,1
Lesotho,Ghana,0
Liberia,Senegal,0
Mali,Benin,1
Mali,Benin,0
Mexico,Italy,0
Mozambique,Egypt,0
Rwanda,Algeria,0
Spain,Uruguay,1
Tanzania,Côte d'Ivoire,0
Tahiti,Nigeria,0
Australia,Iraq,1
Costa Rica,Panama,1
Jordan,Oman,1
Korea Republic,Iran,0
United States,Honduras,1
Uzbekistan,Qatar,1
Brazil,Mexico,1
Italy,Japan,1
Nigeria,Uruguay,0
Spain,Tahiti,1
Brazil,Italy,1
Japan,Mexico,0
Monaco,Vatican City,1
Nigeria,Spain,0
Uruguay,Tahiti,1
Quebec,Tibet,1
Western Sahara,Kurdistan,0
Provence,Tibet,1
Provence,Quebec,0
Brazil,Uruguay,1
Spain,Italy,1
Spain,Italy,0
Quebec,Kurdistan,0
Western Sahara,Tibet,0
Provence,Kurdistan,0
Libya,Burkina Faso,1
Saugeais,Raetia,1
Saugeais,Raetia,0
Brazil,Spain,1
Uruguay,Italy,1
Uruguay,Italy,0
Sealand,Tamil Eelam,0
Sealand,Occitania,0
Namibia,Mauritius,1
Raetia,Alderney,1
Tamil Eelam,Occitania,0
Botswana,Eswatini,1
Botswana,Eswatini,0
Canada,Martinique,0
Mexico,Panama,0
Raetia,Tamil Eelam,0
Sealand,Alderney,1
Sealand,Alderney,0
El Salvador,Trinidad and Tobago,1
El Salvador,Trinidad and Tobago,0
Haiti,Honduras,0
Kenya,Lesotho,1
Kenya,Lesotho,0
Namibia,Seychelles,1
Costa Rica,Cuba,1
Kenya,Eswatini,1
Lesotho,Botswana,1
Lesotho,Botswana,0
United States,Belize,1
Mauritius,Seychelles,1
Kenya,Botswana,0
Lesotho,Eswatini,1
Mexico,Canada,1
Panama,Martinique,1
Honduras,El Salvador,1
Trinidad and Tobago,Haiti,0
Costa Rica,Belize,1
South Africa,Namibia,1
United States,Cuba,1
Zimbabwe,Malawi,1
Zimbabwe,Malawi,0
Martinique,Mexico,0
Panama,Canada,1
Panama,Canada,0
Zambia,Mozambique,1
Angola,Lesotho,1
Angola,Lesotho,0
Bermuda,Greenland,1
Frøya,Falkland Islands,0
El Salvador,Haiti,1
Honduras,Trinidad and Tobago,0
Bermuda,Falkland Islands,1
Greenland,Frøya,1
Cuba,Belize,1
Namibia,Mozambique,0
Malawi,Angola,0
United States,Costa Rica,1
Zambia,South Africa,1
Zambia,South Africa,0
Zimbabwe,Lesotho,1
Falkland Islands,Greenland,0
Bermuda,Frøya,1
Falkland Islands,Frøya,1
Bermuda,Greenland,1
Angola,Mozambique,0
Korea Republic,Australia,1
Korea Republic,Australia,0
Lesotho,South Africa,0
Mexico,Trinidad and Tobago,1
Panama,Cuba,1
Zambia,Zimbabwe,1
Honduras,Costa Rica,1
Japan,China,1
Japan,China,0
United States,El Salvador,1
Korea Republic,China,1
Korea Republic,China,0
Panama,Mexico,1
United States,Honduras,1
Japan,Australia,1
Australia,China,0
Korea Republic,Japan,0
United States,Panama,1
Jordan,Libya,1
Albania,Armenia,1
Algeria,Guinea,1
Algeria,Guinea,0
Austria,Greece,0
Azerbaijan,Malta,1
Belarus,Montenegro,1
Belarus,Montenegro,0
Belgium,France,1
Belgium,France,0
Bosnia and Herzegovina,United States,0
Chile,Iraq,1
Colombia,Serbia,1
Dominican Republic,Costa Rica,0
Ecuador,Spain,0
Egypt,Uganda,1
England,Scotland,1
Estonia,Latvia,1
Estonia,Latvia,0
Finland,Slovenia,1
Gabon,Cabo Verde,1
Gabon,Cabo Verde,0
Germany,Paraguay,1
Germany,Paraguay,0
Hungary,Czechia,1
Hungary,Czechia,0
Iceland,Faroe Islands,1
Indonesia,Philippines,1
Italy,Argentina,0
Japan,Uruguay,0
Kazakhstan,Georgia,1
Korea Republic,Peru,1
Korea Republic,Peru,0
Libya,Central African Republic,1
Libya,Central African Republic,0
Liechtenstein,Croatia,0
Luxembourg,Lithuania,1
North Macedonia,Bulgaria,1
Mexico,Côte d'Ivoire,1
Moldova,Andorra,1
Moldova,Andorra,0
Morocco,Burkina Faso,0
Northern Ireland,Russia,1
Poland,Denmark,1
Portugal,Netherlands,1
Portugal,Netherlands,0
Romania,Slovakia,1
Romania,Slovakia,0
Rwanda,Malawi,0
Singapore,Oman,0
South Africa,Nigeria,0
Sweden,Norway,1
Switzerland,Brazil,1
Tajikistan,India,1
Tunisia,Congo,1
Turkey,Ghana,1
Turkey,Ghana,0
Ukraine,Israel,1
Venezuela,Bolivia,1
Venezuela,Bolivia,0
Wales,Republic of Ireland,1
Wales,Republic of Ireland,0
Zambia,Senegal,1
Zambia,Senegal,0
Syria,Jordan,1
Syria,Jordan,0
South Africa,Burkina Faso,1
Afghanistan,Pakistan,1
Libya,Mali,1
Botswana,Uganda,0
Libya,Ghana,1
Nepal,Bangladesh,1
India,Pakistan,1
Afghanistan,Bhutan,1
Maldives,Sri Lanka,1
Bangladesh,India,1
Bangladesh,India,0
Botswana,Malawi,1
Nepal,Pakistan,1
Nepal,Pakistan,0
Bhutan,Maldives,0
Equatorial Guinea,Libya,1
Equatorial Guinea,Libya,0
Sri Lanka,Afghanistan,0
Bangladesh,Pakistan,0
Nepal,India,1
Qatar,Mauritius,1
Saudi Arabia,New Zealand,0
United Arab Emirates,Trinidad and Tobago,1
United Arab Emirates,Trinidad and Tobago,0
Afghanistan,Maldives,1
Afghanistan,Maldives,0
Belarus,Kyrgyzstan,1
Bosnia and Herzegovina,Slovakia,0
Myanmar,Hong Kong,1
Myanmar,Hong Kong,0
Chile,Venezuela,1
China,Singapore,1
Colombia,Ecuador,1
Costa Rica,United States,1
Czechia,Armenia,0
England,Moldova,1
Estonia,Netherlands,1
Estonia,Netherlands,0
Finland,Spain,0
Georgia,France,1
Georgia,France,0
Germany,Austria,1
Ghana,Zambia,1
Republic of Ireland,Sweden,0
Italy,Bulgaria,1
Japan,Guatemala,1
Jordan,Uzbekistan,1
Jordan,Uzbekistan,0
Kazakhstan,Faroe Islands,1
Korea Republic,Haiti,1
Kuwait,North Korea,1
Latvia,Lithuania,1
Lebanon,Syria,1
Liechtenstein,Greece,0
North Macedonia,Wales,1
Malta,Denmark,0
Mexico,Honduras,0
Northern Ireland,Portugal,0
Norway,Cyprus,1
Panama,Jamaica,1
Panama,Jamaica,0
Paraguay,Bolivia,1
Peru,Uruguay,0
Poland,Montenegro,1
Poland,Montenegro,0
Romania,Hungary,1
Russia,Luxembourg,1
Scotland,Belgium,0
Serbia,Croatia,1
Serbia,Croatia,0
Slovenia,Albania,1
Sri Lanka,Bhutan,1
Switzerland,Iceland,1
Switzerland,Iceland,0
Turkey,Andorra,1
Ukraine,San Marino,1
Angola,Liberia,1
Brazil,Australia,1
Burkina Faso,Gabon,1
Central African Republic,Ethiopia,0
Gambia,Tanzania,1
Israel,Azerbaijan,1
Israel,Azerbaijan,0
Côte d'Ivoire,Morocco,1
Côte d'Ivoire,Morocco,0
Niger,Congo,1
Niger,Congo,0
Nigeria,Malawi,1
Senegal,Uganda,1
Sierra Leone,Equatorial Guinea,1
South Africa,Botswana,1
Tunisia,Cabo Verde,1
Benin,Rwanda,1
Cameroon,Libya,1
Canada,Mauritania,1
Canada,Mauritania,0
Kenya,Namibia,1
Nepal,Afghanistan,0
Sudan,Lesotho,0
Togo,DR Congo,1
Zimbabwe,Mozambique,1
Zimbabwe,Mozambique,0
Kuwait,Bahrain,1
Maldives,India,0
Qatar,Lebanon,1
Qatar,Lebanon,0
Saudi Arabia,Trinidad and Tobago,0
United Arab Emirates,New Zealand,1
Algeria,Mali,1
Andorra,Netherlands,0
Armenia,Denmark,0
Austria,Republic of Ireland,1
Belarus,France,0
Bolivia,Ecuador,1
Bolivia,Ecuador,0
Brazil,Portugal,1
Canada,Mauritania,0
China,Malaysia,1
Cyprus,Slovenia,0
Egypt,Guinea,1
Faroe Islands,Germany,0
Georgia,Finland,0
Greece,Latvia,1
Honduras,Panama,1
Honduras,Panama,0
Hong Kong,Singapore,1
Hungary,Estonia,1
Iceland,Albania,1
Italy,Czechia,1
Jamaica,Costa Rica,1
Jamaica,Costa Rica,0
Japan,Ghana,1
Kazakhstan,Sweden,0
Korea Republic,Croatia,0
Lithuania,Liechtenstein,1
Luxembourg,Northern Ireland,1
North Macedonia,Scotland,0
Malta,Bulgaria,0
Nigeria,Burkina Faso,1
Norway,Switzerland,0
Paraguay,Argentina,0
Romania,Turkey,0
Russia,Israel,1
San Marino,Poland,0
Slovakia,Bosnia and Herzegovina,0
South Africa,Zimbabwe,0
Spain,Chile,1
Spain,Chile,0
Ukraine,England,1
Ukraine,England,0
Uruguay,Colombia,1
United States,Mexico,1
Uzbekistan,Jordan,1
Uzbekistan,Jordan,0
Venezuela,Peru,1
Wales,Serbia,0
Abkhazia,South Ossetia,1
Botswana,Burkina Faso,1
Egypt,Uganda,1
Iraq,Yemen,1
Lebanon,Iraq,1
Lebanon,Iraq,0
Jordan,Kuwait,1
Jordan,Kuwait,0
Oman,Mauritania,1
Oman,Mauritania,0
Qatar,Vietnam,0
Singapore,Laos,1
Thailand,Bahrain,1
Albania,Switzerland,0
Andorra,Romania,0
Argentina,Peru,1
Armenia,Bulgaria,1
Azerbaijan,Northern Ireland,1
Bosnia and Herzegovina,Liechtenstein,1
Colombia,Chile,1
Colombia,Chile,0
Croatia,Belgium,0
Denmark,Italy,1
Denmark,Italy,0
Ecuador,Uruguay,1
England,Montenegro,1
Estonia,Turkey,0
Faroe Islands,Kazakhstan,1
Faroe Islands,Kazakhstan,0
France,Australia,1
Germany,Republic of Ireland,1
Greece,Slovakia,1
Honduras,Costa Rica,1
Iceland,Cyprus,1
Lithuania,Latvia,1
Luxembourg,Russia,0
Malta,Czechia,0
Mexico,Panama,1
Moldova,San Marino,1
Morocco,South Africa,1
Morocco,South Africa,0
Netherlands,Hungary,1
Philippines,Taiwan,0
Portugal,Israel,1
Portugal,Israel,0
Serbia,Japan,1
Slovenia,Norway,1
Spain,Belarus,1
Sweden,Austria,1
Ukraine,Poland,1
United States,Jamaica,1
Venezuela,Paraguay,1
Venezuela,Paraguay,0
Wales,North Macedonia,1
Burkina Faso,Algeria,1
Côte d'Ivoire,Senegal,1
Korea Republic,Brazil,0
Taiwan,Pakistan,0
Ethiopia,Nigeria,0
Qatar,Yemen,1
Tunisia,Cameroon,1
Tunisia,Cameroon,0
Philippines,Pakistan,1
Australia,Canada,1
Azerbaijan,Russia,1
Azerbaijan,Russia,0
Belarus,Japan,1
Belgium,Wales,1
Belgium,Wales,0
Brazil,Zambia,1
Bulgaria,Czechia,0
Chile,Ecuador,1
Costa Rica,Mexico,1
Cyprus,Albania,1
Cyprus,Albania,0
Denmark,Malta,1
England,Poland,1
Faroe Islands,Austria,0
France,Finland,1
Ghana,Egypt,1
Greece,Liechtenstein,1
Hong Kong,United Arab Emirates,0
Hungary,Andorra,1
Indonesia,China,1
Indonesia,China,0
Iran,Thailand,1
Iraq,Saudi Arabia,0
Republic of Ireland,Kazakhstan,1
Israel,Northern Ireland,1
Israel,Northern Ireland,0
Italy,Armenia,1
Italy,Armenia,0
Jamaica,Honduras,1
Jamaica,Honduras,0
Jordan,Oman,1
Jordan,Oman,0
Korea Republic,Mali,1
Kyrgyzstan,Tajikistan,0
Latvia,Slovakia,1
Latvia,Slovakia,0
Lebanon,Kuwait,1
Lebanon,Kuwait,0
Lithuania,Bosnia and Herzegovina,0
Malaysia,Bahrain,1
Malaysia,Bahrain,0
Montenegro,Moldova,0
Norway,Iceland,1
Norway,Iceland,0
Panama,United States,0
Paraguay,Colombia,0
Peru,Bolivia,1
Peru,Bolivia,0
Portugal,Luxembourg,1
Romania,Estonia,1
San Marino,Ukraine,0
Scotland,Croatia,1
Serbia,North Macedonia,1
Singapore,Syria,1
Spain,Georgia,1
Sweden,Germany,0
Switzerland,Slovenia,1
Trinidad and Tobago,New Zealand,1
Trinidad and Tobago,New Zealand,0
Turkey,Netherlands,0
Uruguay,Argentina,1
Uzbekistan,Vietnam,1
Jordan,Nigeria,1
Indonesia,Kyrgyzstan,1
Jordan,Zambia,1
Kuwait,Malaysia,1
Bahrain,Lebanon,1
United Arab Emirates,Philippines,1
Jordan,Uruguay,0
Mexico,New Zealand,1
Belgium,Colombia,0
Bonaire,Suriname,0
Curaçao,Aruba,1
Egypt,Zambia,1
Argentina,Ecuador,1
Argentina,Ecuador,0
Bahrain,Malaysia,1
Belarus,Albania,1
Belarus,Albania,0
China,Indonesia,1
Czechia,Canada,1
Denmark,Norway,1
England,Chile,0
Estonia,Azerbaijan,1
Greece,Romania,1
Iceland,Croatia,1
Iceland,Croatia,0
India,Philippines,1
India,Philippines,0
Republic of Ireland,Latvia,1
Italy,Germany,1
Italy,Germany,0
Jamaica,Trinidad and Tobago,0
Korea Republic,Switzerland,1
Kuwait,Lebanon,1
Kuwait,Lebanon,0
Libya,Niger,1
Libya,Niger,0
Poland,Slovakia,0
Portugal,Sweden,1
Russia,Serbia,1
Russia,Serbia,0
Saudi Arabia,Iraq,1
Scotland,United States,1
Scotland,United States,0
Eswatini,South Africa,0
Syria,Singapore,1
Thailand,Iran,0
Turkey,Northern Ireland,1
Ukraine,France,1
United Arab Emirates,Hong Kong,1
Vietnam,Uzbekistan,0
Yemen,Qatar,0
Aruba,Bonaire,0
Curaçao,Suriname,0
Equatorial Guinea,Spain,0
Honduras,Brazil,0
Netherlands,Japan,1
Netherlands,Japan,0
Nigeria,Ethiopia,1
Senegal,Côte d'Ivoire,1
Senegal,Côte d'Ivoire,0
Uganda,Rwanda,1
Uganda,Rwanda,0
Wales,Finland,1
Wales,Finland,0
Cameroon,Tunisia,1
Luxembourg,Montenegro,0
Argentina,Bosnia and Herzegovina,1
Italy,Nigeria,1
Italy,Nigeria,0
Moldova,Lithuania,1
Moldova,Lithuania,0
Algeria,Burkina Faso,1
Australia,Costa Rica,1
Austria,United States,1
Bahrain,Yemen,1
Belgium,Japan,0
Brazil,Chile,1
Cambodia,Guam,0
China,Saudi Arabia,1
China,Saudi Arabia,0
Croatia,Iceland,1
Egypt,Ghana,1
England,Germany,0
France,Ukraine,1
Gibraltar,Slovakia,1
Gibraltar,Slovakia,0
Honduras,Ecuador,1
Honduras,Ecuador,0
Hong Kong,Uzbekistan,0
India,Nepal,1
Indonesia,Iraq,0
Kuwait,Thailand,1
Kyrgyzstan,Azerbaijan,1
Kyrgyzstan,Azerbaijan,0
Lebanon,Iran,0
Liechtenstein,Estonia,0
Malaysia,Qatar,0
Malta,Faroe Islands,1
Namibia,Mozambique,1
Namibia,Mozambique,0
Netherlands,Colombia,1
Netherlands,Colombia,0
Norway,Scotland,0
Poland,Republic of Ireland,1
Poland,Republic of Ireland,0
Romania,Greece,1
Romania,Greece,0
Russia,Korea Republic,1
Slovenia,Canada,1
South Africa,Spain,1
Sweden,Portugal,0
Syria,Oman,0
Tanzania,Zimbabwe,1
Tanzania,Zimbabwe,0
Trinidad and Tobago,Jamaica,1
Turkey,Belarus,1
United Arab Emirates,Vietnam,1
New Zealand,Mexico,0
Uruguay,Jordan,1
Uruguay,Jordan,0
Singapore,Cambodia,1
Kenya,Ethiopia,1
Kenya,Ethiopia,0
Seychelles,Maldives,1
Zanzibar,South Sudan,1
Burundi,Somalia,1
Tanzania,Zambia,1
Tanzania,Zambia,0
Seychelles,Maldives,1
Sudan,Eritrea,1
Uganda,Rwanda,1
Dominica,Saint Lucia,0
Ethiopia,Zanzibar,1
Kenya,South Sudan,1
Dominica,Saint Lucia,1
Somalia,Tanzania,0
Zambia,Burundi,1
Eritrea,Uganda,0
Sudan,Rwanda,1
Kenya,Zanzibar,1
South Sudan,Ethiopia,0
Somalia,Zambia,0
Tanzania,Burundi,1
Rwanda,Eritrea,1
Uganda,Sudan,1
Kenya,Rwanda,1
Uganda,Tanzania,1
Uganda,Tanzania,0
Ethiopia,Sudan,0
Zambia,Burundi,1
Kenya,Tanzania,1
Zambia,Sudan,0
Kenya,Sudan,1
Tanzania,Zambia,1
Tanzania,Zambia,0
Libya,Mali,1
Qatar,Bahrain,1
Qatar,Bahrain,0
Oman,Bahrain,1
Oman,Bahrain,0
Qatar,Palestine,1
Jordan,Lebanon,1
Jordan,Lebanon,0
Bahrain,Iraq,1
Bahrain,Iraq,0
Palestine,Saudi Arabia,1
Palestine,Saudi Arabia,0
Basque Country,Peru,1
Galicia,Occitania,0
Lebanon,Kuwait,0
Catalonia,Cabo Verde,1
Iraq,Oman,1
Iraq,Oman,0
Qatar,Saudi Arabia,1
Kuwait,Jordan,0
Bahrain,Jordan,0
Namibia,Ghana,0
Nigeria,Ethiopia,1
Qatar,Kuwait,1
Bahrain,Kuwait,1
Bahrain,Kuwait,0
Qatar,Jordan,1
Zimbabwe,Gabon,1
Moldova,Norway,0
Moldova,Sweden,0
Norway,Poland,0
Moldova,Poland,0
Iceland,Sweden,0
Chile,Costa Rica,1
Oman,Finland,1
Oman,Finland,0
Costa Rica,Korea Republic,0
Mexico,Korea Republic,1
Oman,Jordan,1
Oman,Jordan,0
United States,Korea Republic,1
Singapore,Jordan,0
Lebanon,Pakistan,1
